ClaudeCode Rankings 2025 SF
Overall,Bye Week,Tags,Expert Notes,,QB,Bye Week,Tags,Expert Notes,,RB,Bye Week,Tags,Expert Notes,,WR,Bye Week,Tags,Expert Notes,,TE,Bye Week,Tags,Expert Notes,,
Russell Wilson (QB - NYG),14,,,,,,,,,Kalel Mullings - TEN,10,,,,Tre Tucker - LV,8,,,,Charlie Woerner - ATL,5,,,,
Travis Etienne Jr. (RB - JAC),8,,,,,,,,,Clyde Edwards-Helaire - NO,11,,,,Malachi Corley - NYJ,9,,,,Kenny Yeboah - DET,8,,,,
Tre Harris (WR - LAC),12,,,,,,,,,Eric Gray - NYG,14,,,,Tai Felton - MIN,6,,,,Julian Hill - MIA,12,,,,
Deebo Samuel Sr. (WR - WAS),12,,,,,,,,,Marcus Yarns - NO,11,,,,Jahan Dotson - PHI,9,,,,James Mitchell - CAR,14,,,,
Zach Charbonnet (RB - SEA),8,,,,,,,,,Ja'Quinden Jackson - JAC,8,,,,Curtis Samuel - BUF,7,,,,Peyton Hendershot - ,,,,,
Tucker Kraft (TE - GB),5,,,,,,,,,Pierre Strong Jr. - CLE,9,,,,Dont'e Thornton Jr. - LV,8,,,,Teagan Quitoriano - ATL,5,,,,
Rhamondre Stevenson (RB - NE),14,,,,,,,,,Jeremy McNichols - WAS,12,,,,John Metchie III - HOU,6,,,,Shane Zylstra - DET,8,,,,
Jauan Jennings (WR - SF),14,,,,,,,,,Israel Abanikanda - SF,14,,,,Jalen Nailor - MIN,6,,,,Jack Stoll - NO,11,,,,
Jalen McMillan (WR - TB),9,,,,,,,,,D'Onta Foreman - ,,,,,Jalin Hyatt - NYG,14,,,,Quintin Morris - JAC,8,,,,
Stefon Diggs (WR - NE),14,,,,,,,,,Cody Schrader - LAR,8,,,,Noah Brown - WAS,12,,,,,,,,,
Keon Coleman (WR - BUF),7,,,,,,,,,Craig Reynolds - DET,8,,,,Jaylin Lane - WAS,12,,,,,,,,,
Cooper Kupp (WR - SEA),8,,,,,,,,,Jamaal Williams - ,,,,,Demarcus Robinson - SF,14,,,,,,,,,
Dalton Kincaid (TE - BUF),7,,,,,,,,,Jeff Wilson Jr. - ,,,,,Chimere Dike - TEN,10,,,,,,,,,
Jaylen Warren (RB - PIT),5,,,,,,,,,Cordarrelle Patterson - PIT,5,,,,Devontez Walker - BAL,7,,,,,,,,,
Darnell Mooney (WR - ATL),5,,,,,,,,,Hassan Haskins - LAC,12,,,,Tim Patrick - DET,8,,,,,,,,,
Bhayshul Tuten (RB - JAC),8,,,,,,,,,Evan Hull - PIT,5,,,,Treylon Burks - TEN,10,,,,,,,,,
Trey Benson (RB - ARI),8,,,,,,,,,Deuce Vaughn - DAL,10,,,,KaVontae Turpin - DAL,10,,,,,,,,,
